,generic_name,lexi_generic_id,split_by_space,,,,,,,catgs
1118,TIOTROPIUM,3330,TIOTROPIUM,,,,,,,3330|3578|3615|3789|3791|3819|3820|3910
2273,TIOTROPIUM,3330,TIOTROPIUM,,,,,,,3330|3578|3615|3789|3791|3819|3820|3910
498,TINIDAZOLE,3326,TINIDAZOLE,,,,,,,3326|3610|3819|3820
1020,TIMOLOL,3324,TIMOLOL,,,,,,,3324|3661|3663|3674|3789|3790
1166,TIMOLOL,3324,TIMOLOL,,,,,,,3324|3661|3663|3674|3789|3790
1775,TIMOLOL,3324,TIMOLOL,,,,,,,3324|3661|3663|3674|3789|3790
2288,TIMOLOL,3324,TIMOLOL,,,,,,,3324|3661|3663|3674|3789|3790
1146,TIGECYCLINE,3321,TIGECYCLINE,,,,,,,3321|3610|3980|4046
75,TICAGRELOR,3316,TICAGRELOR,,,,,,,3316|3579|3637|3816|3817|3818
176,TICAGRELOR,3316,TICAGRELOR,,,,,,,3316|3579|3637|3816|3817|3818
785,THYROTROPIN ALFA,3311,THYROTROPIN,ALFA,,,,,,
614,THIOTHIXENE,3306,THIOTHIXENE,,,,,,,3306|3581|3615|3638|3639|3702|3724|3727|3728
1153,THIOGUANINE,3302,THIOGUANINE,,,,,,,3577|3633|3875|3929|4051
290,THEOPHYLLINE,3298,THEOPHYLLINE,,,,,,,3298|3581|3724|3725|3726|3730|3799|3802|3803|3819|3820|3986|4042|4048
591,THEOPHYLLINE,3298,THEOPHYLLINE,,,,,,,3298|3581|3724|3725|3726|3730|3799|3802|3803|3819|3820|3986|4042|4048
2022,THEOPHYLLINE,3298,THEOPHYLLINE,,,,,,,3298|3581|3724|3725|3726|3730|3799|3802|3803|3819|3820|3986|4042|4048
2307,THEOPHYLLINE,3298,THEOPHYLLINE,,,,,,,3298|3581|3724|3725|3726|3730|3799|3802|3803|3819|3820|3986|4042|4048
2319,THEOPHYLLINE,3298,THEOPHYLLINE,,,,,,,3298|3581|3724|3725|3726|3730|3799|3802|3803|3819|3820|3986|4042|4048
757,THALIDOMIDE,3296,THALIDOMIDE,,,,,,,3296|3599|3644|3674|3702|3929|4047
1947,TETRACAINE,3280,TETRACAINE,,,,,,,3909
1217,TETRABENAZINE,3279,TETRABENAZINE,,,,,,,3279|3702|3789|3790|3995
1088,TETANUS IMMUNE GLOBULIN,3277,TETANUS,IMMUNE,GLOBULIN,,,,,3847|3874
1528,TERIPARATIDE,3270,TERIPARATIDE,,,,,,,3270
734,TERIFLUNOMIDE,3269,TERIFLUNOMIDE,,,,,,,3269|3651|3653|3717|3718|3764|3765|3877|3939|3947
2078,TERBINAFINE,3264,TERBINAFINE,,,,,,,3264|3624|3724|3727|3728|3757|3760|3761|3781|3782|3785|3786|3819|3820
582,TERAZOSIN,3263,TERAZOSIN,,,,,,,3587|3588|3631|3672
1751,TERAZOSIN,3263,TERAZOSIN,,,,,,,3587|3588|3631|3672
1459,TENOFOVIR DISOPROXIL FUMARATE,3259,TENOFOVIR,DISOPROXIL,FUMARATE,,,,,3259|3577|3642|3653|3926|3974|3975|3976|4044
787,TENOFOVIR ALAFENAMIDE,3258,TENOFOVIR,ALAFENAMIDE,,,,,,3258|3577|3642|3653|3926|3950|3951|3973|3974|3977|4044
136,TEMOZOLOMIDE,3252,TEMOZOLOMIDE,,,,,,,3252|3633|3875|3929
156,TEMOZOLOMIDE,3252,TEMOZOLOMIDE,,,,,,,3252|3633|3875|3929
195,TEMOZOLOMIDE,3252,TEMOZOLOMIDE,,,,,,,3252|3633|3875|3929
256,TEMOZOLOMIDE,3252,TEMOZOLOMIDE,,,,,,,3252|3633|3875|3929
525,TEMOZOLOMIDE,3252,TEMOZOLOMIDE,,,,,,,3252|3633|3875|3929
1156,TEMOZOLOMIDE,3252,TEMOZOLOMIDE,,,,,,,3252|3633|3875|3929
1467,TEICOPLANIN,3242,TEICOPLANIN,,,,,,,3242|3610|3611
1628,TEICOPLANIN,3242,TEICOPLANIN,,,,,,,3242|3610|3611
1527,TAZOBACTAM,3225,TAZOBACTAM,,,,,,,3666
1549,TAZOBACTAM,3225,TAZOBACTAM,,,,,,,3666
1568,TAZOBACTAM,3225,TAZOBACTAM,,,,,,,3666
1062,TAMSULOSIN,3217,TAMSULOSIN,,,,,,,3217|3587|3589|3672|3789|3790|3791|3816|3818|3819|3872
2038,TAMOXIFEN,3216,TAMOXIFEN,,,,,,,3216|3734|3737|3738|3743|3746|3747|3777|3781|3782|3789|3790|3799|3802|3803|3816|3817|3820|3845|3996|4020
2044,TAMOXIFEN,3216,TAMOXIFEN,,,,,,,3216|3734|3737|3738|3743|3746|3747|3777|3781|3782|3789|3790|3799|3802|3803|3816|3817|3820|3845|3996|4020
259,TADALAFIL,3206,TADALAFIL,,,,,,,3206|3816|3817|3818|3979
644,TADALAFIL,3206,TADALAFIL,,,,,,,3206|3816|3817|3818|3979
685,TADALAFIL,3206,TADALAFIL,,,,,,,3206|3816|3817|3818|3979
1069,TACROLIMUS,3204,TACROLIMUS,,,,,,,3204|3816|3817|3818|3822|3867|3868|3877|3929|3974|3975|3976|3996
1132,TACROLIMUS,3204,TACROLIMUS,,,,,,,3204|3816|3817|3818|3822|3867|3868|3877|3929|3974|3975|3976|3996
1194,TACROLIMUS,3204,TACROLIMUS,,,,,,,3204|3816|3817|3818|3822|3867|3868|3877|3929|3974|3975|3976|3996
1220,TACROLIMUS,3204,TACROLIMUS,,,,,,,3204|3816|3817|3818|3822|3867|3868|3877|3929|3974|3975|3976|3996
1262,TACROLIMUS,3204,TACROLIMUS,,,,,,,3204|3816|3817|3818|3822|3867|3868|3877|3929|3974|3975|3976|3996
1328,TACROLIMUS,3204,TACROLIMUS,,,,,,,3204|3816|3817|3818|3822|3867|3868|3877|3929|3974|3975|3976|3996
1330,TACROLIMUS,3204,TACROLIMUS,,,,,,,3204|3816|3817|3818|3822|3867|3868|3877|3929|3974|3975|3976|3996
1364,TACROLIMUS,3204,TACROLIMUS,,,,,,,3204|3816|3817|3818|3822|3867|3868|3877|3929|3974|3975|3976|3996
1376,TACROLIMUS,3204,TACROLIMUS,,,,,,,3204|3816|3817|3818|3822|3867|3868|3877|3929|3974|3975|3976|3996
1092,SUNITINIB,3198,SUNITINIB,,,,,,,3198|3580|3599|3816|3817|3818|3868|3870|3996
1458,SUNITINIB,3198,SUNITINIB,,,,,,,3198|3580|3599|3816|3817|3818|3868|3870|3996
1557,SUNITINIB,3198,SUNITINIB,,,,,,,3198|3580|3599|3816|3817|3818|3868|3870|3996
197,SUMATRIPTAN,3196,SUMATRIPTAN,,,,,,,3196|4030
587,SUMATRIPTAN,3196,SUMATRIPTAN,,,,,,,3196|4030
1921,SUMATRIPTAN,3196,SUMATRIPTAN,,,,,,,3196|4030
2094,SUMATRIPTAN,3196,SUMATRIPTAN,,,,,,,3196|4030
666,SULFASALAZINE,3184,SULFASALAZINE,,,,,,,3184|3573|3652|3920
854,SULFASALAZINE,3184,SULFASALAZINE,,,,,,,3184|3573|3652|3920
1440,SULFADIAZINE,3178,SULFADIAZINE,,,,,,,3178|3580|3610|3781|3782|3799|3802|3803|3819|3820|3870|3920|3980|4039|4040
1033,SULFACETAMIDE SODIUM,3177,SULFACETAMIDE,SODIUM,,,,,,3708|3710
1608,SULFACETAMIDE SODIUM,3177,SULFACETAMIDE,SODIUM,,,,,,3708|3710
1560,SULBACTAM,3170,SULBACTAM,,,,,,,3666
1612,SULBACTAM,3170,SULBACTAM,,,,,,,3666
1226,SUGAMMADEX,3169,SUGAMMADEX,,,,,,,3169
1593,SUFENTANIL,3168,SUFENTANIL,,,,,,,3168|3672|3674|3702|3816|3818|3819|3837|3872|3959|3961|3963
1051,SUCRALFATE,3166,SUCRALFATE,,,,,,,3166|3983
2194,SUCCIMER,3164,SUCCIMER,,,,,,,
2357,SUCCIMER,3164,SUCCIMER,,,,,,,
1341,STREPTOMYCIN,3160,STREPTOMYCIN,,,,,,,3160|3593|3610
469,SPIRONOLACTONE,3149,SPIRONOLACTONE,,,,,,,3149|3631|3672|3832|3871|3985
1240,SPIRONOLACTONE,3149,SPIRONOLACTONE,,,,,,,3149|3631|3672|3832|3871|3985
1981,SPIRAMYCIN,3147,SPIRAMYCIN,,,,,,,3147|3610|3914
369,SORBITOL,3139,SORBITOL,,,,,,,3139
192,SORAFENIB,3138,SORAFENIB,,,,,,,3138|3599|3675|3816|3817|3820|3868|3929|3996|4058|4072
1180,SOMATROPIN,3136,SOMATROPIN,,,,,,,3857|3867|3988
1499,SOMATROPIN,3136,SOMATROPIN,,,,,,,3857|3867|3988
1510,SOMATROPIN,3136,SOMATROPIN,,,,,,,3857|3867|3988
1452,SOMATOSTATIN,3135,SOMATOSTATIN,,,,,,,3580|3837|3867|3870|4037
725,SOFOSBUVIR,3129,SOFOSBUVIR,,,,,,,3129|3628|3831|3973|3974|3977
2210,SOFOSBUVIR,3129,SOFOSBUVIR,,,,,,,3129|3628|3831|3973|3974|3977
2363,SOFOSBUVIR,3129,SOFOSBUVIR,,,,,,,3129|3628|3831|3973|3974|3977
2215,SODIUM THIOSULFATE,3127,SODIUM,THIOSULFATE,,,,,,
2154,SODIUM TETRADECYL SULFATE,3126,SODIUM,TETRADECYL,SULFATE,,,,,
2163,SODIUM TETRADECYL SULFATE,3126,SODIUM,TETRADECYL,SULFATE,,,,,
2306,SODIUM TETRADECYL SULFATE,3126,SODIUM,TETRADECYL,SULFATE,,,,,
1939,SODIUM POLYSTYRENE SULFONATE,3119,SODIUM,POLYSTYRENE,SULFONATE,,,,,3119
2104,SODIUM PHENYLBUTYRATE,3115,SODIUM,PHENYLBUTYRATE,,,,,,4079
2106,SODIUM PHENYLBUTYRATE,3115,SODIUM,PHENYLBUTYRATE,,,,,,4079
2305,SODIUM NITRITE,3110,SODIUM,NITRITE,,,,,,3110|3672|3872|3920
539,SODIUM CHLORIDE,3099,SODIUM,CHLORIDE,,,,,,3099
540,SODIUM CHLORIDE,3099,SODIUM,CHLORIDE,,,,,,3099
545,SODIUM CHLORIDE,3099,SODIUM,CHLORIDE,,,,,,3099
547,SODIUM CHLORIDE,3099,SODIUM,CHLORIDE,,,,,,3099
555,SODIUM CHLORIDE,3099,SODIUM,CHLORIDE,,,,,,3099
571,SODIUM CHLORIDE,3099,SODIUM,CHLORIDE,,,,,,3099
583,SODIUM CHLORIDE,3099,SODIUM,CHLORIDE,,,,,,3099
629,SODIUM CHLORIDE,3099,SODIUM,CHLORIDE,,,,,,3099
631,SODIUM CHLORIDE,3099,SODIUM,CHLORIDE,,,,,,3099
886,SODIUM CHLORIDE,3099,SODIUM,CHLORIDE,,,,,,3099
926,SODIUM CHLORIDE,3099,SODIUM,CHLORIDE,,,,,,3099
1315,SODIUM CHLORIDE,3099,SODIUM,CHLORIDE,,,,,,3099
1318,SODIUM CHLORIDE,3099,SODIUM,CHLORIDE,,,,,,3099
1639,SODIUM CHLORIDE,3099,SODIUM,CHLORIDE,,,,,,3099
1649,SODIUM CHLORIDE,3099,SODIUM,CHLORIDE,,,,,,3099
1713,SODIUM CHLORIDE,3099,SODIUM,CHLORIDE,,,,,,3099
1715,SODIUM CHLORIDE,3099,SODIUM,CHLORIDE,,,,,,3099
1769,SODIUM CHLORIDE,3099,SODIUM,CHLORIDE,,,,,,3099
1797,SODIUM CHLORIDE,3099,SODIUM,CHLORIDE,,,,,,3099
1824,SODIUM CHLORIDE,3099,SODIUM,CHLORIDE,,,,,,3099
1854,SODIUM CHLORIDE,3099,SODIUM,CHLORIDE,,,,,,3099
1882,SODIUM CHLORIDE,3099,SODIUM,CHLORIDE,,,,,,3099
2037,SODIUM CHLORIDE,3099,SODIUM,CHLORIDE,,,,,,3099
2101,SODIUM CHLORIDE,3099,SODIUM,CHLORIDE,,,,,,3099
2369,SODIUM CHLORIDE,3099,SODIUM,CHLORIDE,,,,,,3099
502,SODIUM BICARBONATE,3097,SODIUM,BICARBONATE,,,,,,3097|3582|3603|4033
1468,SODIUM BICARBONATE,3097,SODIUM,BICARBONATE,,,,,,3097|3582|3603|4033
2244,SODIUM BICARBONATE,3097,SODIUM,BICARBONATE,,,,,,3097|3582|3603|4033
2105,SODIUM BENZOATE,3096,SODIUM,BENZOATE,,,,,,3096
2108,SODIUM BENZOATE,3096,SODIUM,BENZOATE,,,,,,3096
146,SITAGLIPTIN,3085,SITAGLIPTIN,,,,,,,3085|3580|3619|3771|3772|3819|3820|3830|3976|3977
158,SITAGLIPTIN,3085,SITAGLIPTIN,,,,,,,3085|3580|3619|3771|3772|3819|3820|3830|3976|3977
240,SITAGLIPTIN,3085,SITAGLIPTIN,,,,,,,3085|3580|3619|3771|3772|3819|3820|3830|3976|3977
687,SITAGLIPTIN,3085,SITAGLIPTIN,,,,,,,3085|3580|3619|3771|3772|3819|3820|3830|3976|3977
689,SITAGLIPTIN,3085,SITAGLIPTIN,,,,,,,3085|3580|3619|3771|3772|3819|3820|3830|3976|3977
2333,SITAGLIPTIN,3085,SITAGLIPTIN,,,,,,,3085|3580|3619|3771|3772|3819|3820|3830|3976|3977
2337,SITAGLIPTIN,3085,SITAGLIPTIN,,,,,,,3085|3580|3619|3771|3772|3819|3820|3830|3976|3977
1066,SIROLIMUS,3083,SIROLIMUS,,,,,,,3083|3816|3817|3818|3822|3867|3868|3877|3929|3973|3974|3975|4034
397,SIMVASTATIN,3078,SIMVASTATIN,,,,,,,3078|3816|3818|3819|3822|3864|3949|3950
208,SIMETHICONE,3077,SIMETHICONE,,,,,,,3077
222,SIMETHICONE,3077,SIMETHICONE,,,,,,,3077
410,SIMETHICONE,3077,SIMETHICONE,,,,,,,3077
593,SIMETHICONE,3077,SIMETHICONE,,,,,,,3077
1362,SIMETHICONE,3077,SIMETHICONE,,,,,,,3077
1485,SIMETHICONE,3077,SIMETHICONE,,,,,,,3077
1839,SIMETHICONE,3077,SIMETHICONE,,,,,,,3077
1851,SIMETHICONE,3077,SIMETHICONE,,,,,,,3077
2162,SIMETHICONE,3077,SIMETHICONE,,,,,,,3077
245,SILVER SULFADIAZINE,3075,SILVER,SULFADIAZINE,,,,,,3614
1554,SILVER SULFADIAZINE,3075,SILVER,SULFADIAZINE,,,,,,3614
11,SILDENAFIL,3069,SILDENAFIL,,,,,,,3069|3724|3727|3728|3757|3760|3761|3781|3782|3789|3791|3799|3802|3803|3816|3817|3818|3979
66,SILDENAFIL,3069,SILDENAFIL,,,,,,,3069|3724|3727|3728|3757|3760|3761|3781|3782|3789|3791|3799|3802|3803|3816|3817|3818|3979
1390,SILDENAFIL,3069,SILDENAFIL,,,,,,,3069|3724|3727|3728|3757|3760|3761|3781|3782|3789|3791|3799|3802|3803|3816|3817|3818|3979
1594,SEVOFLURANE,3065,SEVOFLURANE,,,,,,,3065|3672|3702|3734|3737|3738|3743|3746|3747|3799|3802|3803|3819|3820|3872|3882|3996
3,SERTRALINE,3062,SERTRALINE,,,,,,,3062|3579|3743|3746|3747|3757|3760|3761|3781|3782|3788|3789|3791|3816|3817|3820|3836|3871|3986|3995|4022|4024
5,SERTRALINE,3062,SERTRALINE,,,,,,,3062|3579|3743|3746|3747|3757|3760|3761|3781|3782|3788|3789|3791|3816|3817|3820|3836|3871|3986|3995|4022|4024
2137,SERTRALINE,3062,SERTRALINE,,,,,,,3062|3579|3743|3746|3747|3757|3760|3761|3781|3782|3788|3789|3791|3816|3817|3820|3836|3871|3986|3995|4022|4024
2332,SERTRALINE,3062,SERTRALINE,,,,,,,3062|3579|3743|3746|3747|3757|3760|3761|3781|3782|3788|3789|3791|3816|3817|3820|3836|3871|3986|3995|4022|4024
596,SELENIUM SULFIDE,3051,SELENIUM,SULFIDE,,,,,,
878,SELENIUM SULFIDE,3051,SELENIUM,SULFIDE,,,,,,
2029,SELENIUM,3050,SELENIUM,,,,,,,3050|3983
270,SALMETEROL,3024,SALMETEROL,,,,,,,3024|3578|3658|3659|3816|3818|3819|3996|4042
300,SALMETEROL,3024,SALMETEROL,,,,,,,3024|3578|3658|3659|3816|3818|3819|3996|4042
693,SALMETEROL,3024,SALMETEROL,,,,,,,3024|3578|3658|3659|3816|3818|3819|3996|4042
698,SALMETEROL,3024,SALMETEROL,,,,,,,3024|3578|3658|3659|3816|3818|3819|3996|4042
799,SALMETEROL,3024,SALMETEROL,,,,,,,3024|3578|3658|3659|3816|3818|3819|3996|4042
806,SALMETEROL,3024,SALMETEROL,,,,,,,3024|3578|3658|3659|3816|3818|3819|3996|4042
1809,SALMETEROL,3024,SALMETEROL,,,,,,,3024|3578|3658|3659|3816|3818|3819|3996|4042
1899,SALMETEROL,3024,SALMETEROL,,,,,,,3024|3578|3658|3659|3816|3818|3819|3996|4042
1922,SALMETEROL,3024,SALMETEROL,,,,,,,3024|3578|3658|3659|3816|3818|3819|3996|4042
2000,SALMETEROL,3024,SALMETEROL,,,,,,,3024|3578|3658|3659|3816|3818|3819|3996|4042
2247,SALMETEROL,3024,SALMETEROL,,,,,,,3024|3578|3658|3659|3816|3818|3819|3996|4042
2284,SALICYLIC ACID,3019,SALICYLIC,ACID,,,,,,3019
23,ROSUVASTATIN,2999,ROSUVASTATIN,,,,,,,2999|3652|3781|3782|3819|3820|3864|3948|3949
43,ROSUVASTATIN,2999,ROSUVASTATIN,,,,,,,2999|3652|3781|3782|3819|3820|3864|3948|3949
58,ROSUVASTATIN,2999,ROSUVASTATIN,,,,,,,2999|3652|3781|3782|3819|3820|3864|3948|3949
135,ROSUVASTATIN,2999,ROSUVASTATIN,,,,,,,2999|3652|3781|3782|3819|3820|3864|3948|3949
1439,ROPINIROLE,2996,ROPINIROLE,,,,,,,2996|3635|3672|3724|3725|3726|3819|3820|3872
1918,ROPINIROLE,2996,ROPINIROLE,,,,,,,2996|3635|3672|3724|3725|3726|3819|3820|3872
1058,ROMIPLOSTIM,2993,ROMIPLOSTIM,,,,,,,3847|3866
1859,RIZATRIPTAN,2988,RIZATRIPTAN,,,,,,,2988|4030
1873,RIZATRIPTAN,2988,RIZATRIPTAN,,,,,,,2988|4030
1887,RIZATRIPTAN,2988,RIZATRIPTAN,,,,,,,2988|4030
1664,RIVASTIGMINE,2987,RIVASTIGMINE,,,,,,,2987|3574|3575|3674
1770,RIVASTIGMINE,2987,RIVASTIGMINE,,,,,,,2987|3574|3575|3674
1916,RIVASTIGMINE,2987,RIVASTIGMINE,,,,,,,2987|3574|3575|3674
2076,RIVASTIGMINE,2987,RIVASTIGMINE,,,,,,,2987|3574|3575|3674
59,RIVAROXABAN,2986,RIVAROXABAN,,,,,,,2986|3616|3617|3653|3805|3806|3807|3816|3817|3820|3976|3977
65,RIVAROXABAN,2986,RIVAROXABAN,,,,,,,2986|3616|3617|3653|3805|3806|3807|3816|3817|3820|3976|3977
73,RIVAROXABAN,2986,RIVAROXABAN,,,,,,,2986|3616|3617|3653|3805|3806|3807|3816|3817|3820|3976|3977
81,RIVAROXABAN,2986,RIVAROXABAN,,,,,,,2986|3616|3617|3653|3805|3806|3807|3816|3817|3820|3976|3977
41,RITUXIMAB,2984,RITUXIMAB,,,,,,,2984|3669|3847|3876|3924|3929
166,RITUXIMAB,2984,RITUXIMAB,,,,,,,2984|3669|3847|3876|3924|3929
2050,RITUXIMAB,2984,RITUXIMAB,,,,,,,2984|3669|3847|3876|3924|3929
1405,RITONAVIR,2983,RITONAVIR,,,,,,,2983|3642|3705|3717|3719|3724|3727|3728|3739|3740|3743|3746|3747|3752|3775|3788|3789|3791|3812|3814|3816|3817|3818|3867|3885|3887|3926|3972|3976|3977|3986|3993|4057
1756,RITONAVIR,2983,RITONAVIR,,,,,,,2983|3642|3705|3717|3719|3724|3727|3728|3739|3740|3743|3746|3747|3752|3775|3788|3789|3791|3812|3814|3816|3817|3818|3867|3885|3887|3926|3972|3976|3977|3986|3993|4057
2358,RITODRINE,2982,RITODRINE,,,,,,,2982|3658|3660|4042
267,RISPERIDONE,2981,RISPERIDONE,,,,,,,2981|3581|3615|3638|3641|3702|3789|3790|3816|3817|3820|3867|3974|3975|3976|3997|3999|4003
268,RISPERIDONE,2981,RISPERIDONE,,,,,,,2981|3581|3615|3638|3641|3702|3789|3790|3816|3817|3820|3867|3974|3975|3976|3997|3999|4003
983,RISPERIDONE,2981,RISPERIDONE,,,,,,,2981|3581|3615|3638|3641|3702|3789|3790|3816|3817|3820|3867|3974|3975|3976|3997|3999|4003
1209,RISPERIDONE,2981,RISPERIDONE,,,,,,,2981|3581|3615|3638|3641|3702|3789|3790|3816|3817|3820|3867|3974|3975|3976|3997|3999|4003
1213,RISPERIDONE,2981,RISPERIDONE,,,,,,,2981|3581|3615|3638|3641|3702|3789|3790|3816|3817|3820|3867|3974|3975|3976|3997|3999|4003
1223,RISPERIDONE,2981,RISPERIDONE,,,,,,,2981|3581|3615|3638|3641|3702|3789|3790|3816|3817|3820|3867|3974|3975|3976|3997|3999|4003
1657,RISPERIDONE,2981,RISPERIDONE,,,,,,,2981|3581|3615|3638|3641|3702|3789|3790|3816|3817|3820|3867|3974|3975|3976|3997|3999|4003
2056,RISPERIDONE,2981,RISPERIDONE,,,,,,,2981|3581|3615|3638|3641|3702|3789|3790|3816|3817|3820|3867|3974|3975|3976|3997|3999|4003
2136,RISPERIDONE,2981,RISPERIDONE,,,,,,,2981|3581|3615|3638|3641|3702|3789|3790|3816|3817|3820|3867|3974|3975|3976|3997|3999|4003
1259,RILUZOLE,2966,RILUZOLE,,,,,,,2966|3724|3727|3728
74,RIFAXIMIN,2962,RIFAXIMIN,,,,,,,2962|3610|3611|3819|3820|3943|3945|3950|3951|3974|3975|3976
128,RIFAXIMIN,2962,RIFAXIMIN,,,,,,,2962|3610|3611|3819|3820|3943|3945|3950|3951|3974|3975|3976
1437,RIBAVIRIN,2950,RIBAVIRIN,,,,,,,2950|3645
2346,RIBAVIRIN,2950,RIBAVIRIN,,,,,,,2950|3645
1357,RETEPLASE,2944,RETEPLASE,,,,,,,4052
977,REPAGLINIDE,2936,REPAGLINIDE,,,,,,,2936|3580|3619|3768|3769|3770|3773|3816|3817|3818|3870|3919|3949|3950
998,REPAGLINIDE,2936,REPAGLINIDE,,,,,,,2936|3580|3619|3768|3769|3770|3773|3816|3817|3818|3870|3919|3949|3950
1011,REPAGLINIDE,2936,REPAGLINIDE,,,,,,,2936|3580|3619|3768|3769|3770|3773|3816|3817|3818|3870|3919|3949|3950
1785,REMIFENTANIL,2934,REMIFENTANIL,,,,,,,2934|3672|3674|3702|3837|3872|3959|3963
2188,REMIFENTANIL,2934,REMIFENTANIL,,,,,,,2934|3672|3674|3702|3837|3872|3959|3963
2190,REMIFENTANIL,2934,REMIFENTANIL,,,,,,,2934|3672|3674|3702|3837|3872|3959|3963
1,REMDESIVIR,2933,REMDESIVIR,,,,,,,2933|3771|3772|3789|3791|3819|3820|3950|3951|3976|3977
1054,REMDESIVIR,2933,REMDESIVIR,,,,,,,2933|3771|3772|3789|3791|3819|3820|3950|3951|3976|3977
2013,REGORAFENIB,2928,REGORAFENIB,,,,,,,2928|3599|3651|3816|3817|3818|3868|3871|4058|4072
2344,RASBURICASE,2919,RASBURICASE,,,,,,,3920
863,RANOLAZINE,2917,RANOLAZINE,,,,,,,2917|3788|3789|3791|3815|3816|3818|3819|3972|3976|3977|3996
2352,PYRIMETHAMINE,2885,PYRIMETHAMINE,,,,,,,2885|3632|3916
284,PSEUDOEPHEDRINE,2873,PSEUDOEPHEDRINE,,,,,,,3583|3585|3826|4042
1219,PROTHROMBIN COMPLEX,2869,PROTHROMBIN,COMPLEX,,,,,,2869
2046,PROPYLTHIOURACIL,2863,PROPYLTHIOURACIL,,,,,,,2863|3643|3929
1082,PROPOFOL,2856,PROPOFOL,,,,,,,2856|3672|3674|3702|3724|3727|3728|3734|3737|3738|3743|3746|3747|3757|3760|3761|3781|3782|3789|3791|3799|3802|3803|3815|3819|3820|3872|3996
1111,PROPOFOL,2856,PROPOFOL,,,,,,,2856|3672|3674|3702|3724|3727|3728|3734|3737|3738|3743|3746|3747|3757|3760|3761|3781|3782|3789|3791|3799|3802|3803|3815|3819|3820|3872|3996
1172,PROPOFOL,2856,PROPOFOL,,,,,,,2856|3672|3674|3702|3724|3727|3728|3734|3737|3738|3743|3746|3747|3757|3760|3761|3781|3782|3789|3791|3799|3802|3803|3815|3819|3820|3872|3996
326,PROMETHAZINE,2845,PROMETHAZINE,,,,,,,2845|3615|3702|3743|3746|3747|3789|3791|3980
39,PROGESTERONE,2841,PROGESTERONE,,,,,,,2841|3724|3727|3728|3734|3737|3738|3757|3760|3761|3781|3782|3789|3791|3819|3820|3837|3867|3989
162,PROGESTERONE,2841,PROGESTERONE,,,,,,,2841|3724|3727|3728|3734|3737|3738|3757|3760|3761|3781|3782|3789|3791|3819|3820|3837|3867|3989
1106,PROGESTERONE,2841,PROGESTERONE,,,,,,,2841|3724|3727|3728|3734|3737|3738|3757|3760|3761|3781|3782|3789|3791|3819|3820|3837|3867|3989
1266,PROGESTERONE,2841,PROGESTERONE,,,,,,,2841|3724|3727|3728|3734|3737|3738|3757|3760|3761|3781|3782|3789|3791|3819|3820|3837|3867|3989
1834,PROGESTERONE,2841,PROGESTERONE,,,,,,,2841|3724|3727|3728|3734|3737|3738|3757|3760|3761|3781|3782|3789|3791|3819|3820|3837|3867|3989
2061,PROGESTERONE,2841,PROGESTERONE,,,,,,,2841|3724|3727|3728|3734|3737|3738|3757|3760|3761|3781|3782|3789|3791|3819|3820|3837|3867|3989
2235,PROGESTERONE,2841,PROGESTERONE,,,,,,,2841|3724|3727|3728|3734|3737|3738|3757|3760|3761|3781|3782|3789|3791|3819|3820|3837|3867|3989
2204,PROCARBAZINE,2837,PROCARBAZINE,,,,,,,2837|3581|3633|3654|3875|3929
945,PRIMIDONE,2832,PRIMIDONE,,,,,,,2832|3618|3648|3702|3717|3719|3731|3732|3739|3741|3757|3760|3761|3775|3808|3810|3871|4057
2045,PRIMIDONE,2832,PRIMIDONE,,,,,,,2832|3618|3648|3702|3717|3719|3731|3732|3739|3741|3757|3760|3761|3775|3808|3810|3871|4057
406,PRILOCAINE,2828,PRILOCAINE,,,,,,,2828|3909|3920
1688,PRILOCAINE,2828,PRILOCAINE,,,,,,,2828|3909|3920
2222,PRILOCAINE,2828,PRILOCAINE,,,,,,,2828|3909|3920
83,PREGABALIN,2823,PREGABALIN,,,,,,,2823|3618|3702|3871
107,PREGABALIN,2823,PREGABALIN,,,,,,,2823|3618|3702|3871
124,PREGABALIN,2823,PREGABALIN,,,,,,,2823|3618|3702|3871
173,PREGABALIN,2823,PREGABALIN,,,,,,,2823|3618|3702|3871
1476,PREGABALIN,2823,PREGABALIN,,,,,,,2823|3618|3702|3871
1202,PREDNISOLONE,2817,PREDNISOLONE,,,,,,,3708|3710|3819|3820
1334,PREDNISOLONE,2817,PREDNISOLONE,,,,,,,3708|3710|3819|3820
1647,PREDNISOLONE,2817,PREDNISOLONE,,,,,,,3708|3710|3819|3820
2331,PREDNISOLONE,2817,PREDNISOLONE,,,,,,,3708|3710|3819|3820
944,PRAZOSIN,2814,PRAZOSIN,,,,,,,3587|3588|3631|3672
971,PRAZOSIN,2814,PRAZOSIN,,,,,,,3587|3588|3631|3672
1464,PRASUGREL,2810,PRASUGREL,,,,,,,2810|3579|3637|3743|3746|3747|3819|3820
2176,PRASUGREL,2810,PRASUGREL,,,,,,,2810|3579|3637|3743|3746|3747|3819|3820
2153,PRALIDOXIME,2801,PRALIDOXIME,,,,,,,
990,POTASSIUM CITRATE,2787,POTASSIUM,CITRATE,,,,,,2787|3582|3701|3984
1251,POTASSIUM CITRATE,2787,POTASSIUM,CITRATE,,,,,,2787|3582|3701|3984
1781,POTASSIUM CITRATE,2787,POTASSIUM,CITRATE,,,,,,2787|3582|3701|3984
